"DRG.Definition","Provider.Id","Provider.Name","Provider.Street.Address","Provider.City","Provider.State","Provider.Zip.Code","Hospital.Referral.Region..HRR..Description","Total.Discharges","Average.Covered.Charges","Average.Total.Payments","Average.Medicare.Payments","DRG.Code","Comb.DRG","MORT","READM","Lat","Long"
"337","293 - HEART FAILURE & SHOCK W/O CC/MCC","330181","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","GLEN COVE","NY","11542","NY - East Long Island","40","24854.55","5079.4","4047.525","293","HF","13.0","22.8",NA,NA
"338","293 - HEART FAILURE & SHOCK W/O CC/MCC","330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","ROSLYN","NY","11576","NY - East Long Island","92","27791.54348","4962.206522","3744.782609","293","HF","10.5","21.2","40.804505","-73.672669"
"339","293 - HEART FAILURE & SHOCK W/O CC/MCC","330184","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","NEW ROCHELLE","NY","10802","NY - Bronx","28","11304.46429","7380.107143","6057.464286","293","HF","11.5","23.6","40.912968","-73.786997"
"340","293 - HEART FAILURE & SHOCK W/O CC/MCC","330185","JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","75 NORTH COUNTRY ROAD","PORT JEFFERSON","NY","11777","NY - East Long Island","30","25678.1","4689.066667","3835.066667","293","HF","8.8","24.3","40.938128","-73.053786"
"341","293 - HEART FAILURE & SHOCK W/O CC/MCC","330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","LEWISTON","NY","14092","NY - Buffalo","27","7144.074074","4872.592593","4290.666667","293","HF","12.4","21.3","43.154652","-79.030462"
"342","293 - HEART FAILURE & SHOCK W/O CC/MCC","330191","GLENS FALLS HOSPITAL","100 PARK STREET","GLENS FALLS","NY","12801","NY - Albany","24","13463.25","4256.625","3377.625","293","HF","12.4","21.1","43.308335","-73.644551"
"343","293 - HEART FAILURE & SHOCK W/O CC/MCC","330193","FLUSHING HOSPITAL MEDICAL CENTER","45TH AVENUE AND PARSONS BOULEVARD","FLUSHING","NY","11355","NY - East Long Island","19","15991.10526","9646.789474","7838.263158","293","HF","11.5","23.3","40.755636","-73.815645"
"344","293 - HEART FAILURE & SHOCK W/O CC/MCC","330194","MAIMONIDES MEDICAL CENTER","4802 TENTH AVENUE","BROOKLYN","NY","11219","NY - Manhattan","67","30651.13433","9722.567164","7977.865672","293","HF","8.5","25.2","40.63908","-73.998667"
"345","293 - HEART FAILURE & SHOCK W/O CC/MCC","330195","LONG ISLAND JEWISH MEDICAL CENTER","270 - 05 76TH AVENUE","NEW HYDE PARK","NY","11040","NY - East Long Island","79","34189.08861","8943.78481","7401.734177","293","HF","10.4","24.4",NA,NA
"346","293 - HEART FAILURE & SHOCK W/O CC/MCC","330196","CONEY ISLAND HOSPITAL","2601 OCEAN PARKWAY","BROOKLYN","NY","11235","NY - Manhattan","23","23184.78261","9541.695652","7985.086957","293","HF","9.3","25.2","40.584965","-73.966279"
"347","293 - HEART FAILURE & SHOCK W/O CC/MCC","330197","CANTON-POTSDAM HOSPITAL","50 LEROY STREET","POTSDAM","NY","13676","VT - Burlington","19","8973.947368","4622.578947","3665.947368","293","HF","11.1","22.1","44.676085","-74.981451"
"348","293 - HEART FAILURE & SHOCK W/O CC/MCC","330198","SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","OCEANSIDE","NY","11572","NY - East Long Island","51","20721.5098","5592.803922","4396.980392","293","HF","12.6","23.3",NA,NA
"349","293 - HEART FAILURE & SHOCK W/O CC/MCC","330201","KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","BROOKLYN","NY","11203","NY - Manhattan","18","28469.77778","8006.5","6787.777778","293","HF","9.0","26.8","40.658929","-73.934072"
"350","293 - HEART FAILURE & SHOCK W/O CC/MCC","330202","KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVENUE","BROOKLYN","NY","11203","NY - Manhattan","37","23090.32432","17774.86486","16108.48649","293","HF","10.9","27.2","40.655773","-73.944039"
"351","293 - HEART FAILURE & SHOCK W/O CC/MCC","330203","CROUSE HOSPITAL","736 IRVING AVENUE","SYRACUSE","NY","13210","NY - Syracuse","22","12555.63636","6414.636364","5094.181818","293","HF","12.6","23.5","43.041707","-76.137852"
"352","293 - HEART FAILURE & SHOCK W/O CC/MCC","330204","BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","NEW YORK","NY","10016","NY - Manhattan","12","24923.08333","16296.33333","14494","293","HF","10.4","21.9","40.739696","-73.976526"
"353","293 - HEART FAILURE & SHOCK W/O CC/MCC","330208","ST JOHN'S RIVERSIDE HOSPITAL","976 NORTH BROADWAY","YONKERS","NY","10701","NY - White Plains","33","16979.24242","7679.242424","6638.181818","293","HF","10.5","25.5","40.96784","-73.885107"
"354","293 - HEART FAILURE & SHOCK W/O CC/MCC","330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","NEW YORK","NY","10016","NY - Manhattan","32","33688.5625","7435.4375","5801.125","293","HF","7.5","22.4","40.74226","-73.974661"
"355","293 - HEART FAILURE & SHOCK W/O CC/MCC","330215","ROME MEMORIAL HOSPITAL, INC","1500 NORTH JAMES STREET","ROME","NY","13440","NY - Syracuse","15","14867.4","4410.066667","3607.933333","293","HF","15.0","23.4","43.228954","-75.444248"
"356","293 - HEART FAILURE & SHOCK W/O CC/MCC","330221","WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM STREET","BROOKLYN","NY","11237","NY - Manhattan","19","15763.42105","10246.15789","8786.263158","293","HF","11.2","24.2","40.704699","-73.917648"
"357","293 - HEART FAILURE & SHOCK W/O CC/MCC","330222","SARATOGA HOSPITAL","211 CHURCH STREET","SARATOGA SPRING","NY","12866","NY - Albany","17","16891.52941","4457","2957","293","HF","14.4","20.3","43.084738","-73.797766"
"358","293 - HEART FAILURE & SHOCK W/O CC/MCC","330223","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE","MASSENA","NY","13662","VT - Burlington","26","8195.076923","4778.730769","3383.692308","293","HF","10.1","22.8","44.936344","-74.907828"
"359","293 - HEART FAILURE & SHOCK W/O CC/MCC","330226","UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","ROCHESTER","NY","14626","NY - Rochester","16","9383.8125","5622.25","4608.8125","293","HF","11.9","22.4","43.191527","-77.701464"
"360","293 - HEART FAILURE & SHOCK W/O CC/MCC","330229","BROOKS MEMORIAL HOSPITAL","529 CENTRAL AVENUE","DUNKIRK","NY","14048","NY - Buffalo","13","6281.769231","4627.538462","4066.307692","293","HF","14.5","24.1","42.479861","-79.333551"
"361","293 - HEART FAILURE & SHOCK W/O CC/MCC","330231","QUEENS HOSPITAL CENTER","82-68 164TH STREET","JAMAICA","NY","11432","NY - East Long Island","17","22889.11765","13839.76471","12058.70588","293","HF","11.0","23.2","40.71698","-73.803431"
"362","293 - HEART FAILURE & SHOCK W/O CC/MCC","330232","ST MARY'S HOSPITAL ( TROY )","1300 MASSACHUSETTS AVENUE","TROY","NY","12180","NY - Albany","17","18557.23529","4665.411765","3888","293","HF","12.7","20.4","42.743978","-73.676419"
"363","293 - HEART FAILURE & SHOCK W/O CC/MCC","330233","BROOKDALE HOSPITAL MEDICAL CENTER","LINDEN BOULEVARD AT BROOKDALE PLAZA","BROOKLYN","NY","11212","NY - Manhattan","24","16556.875","11936","10440.625","293","HF","11.5","24.8","40.6545","-73.91275"
"364","293 - HEART FAILURE & SHOCK W/O CC/MCC","330234","WESTCHESTER MEDICAL CENTER","100 WOODS RD","VALHALLA","NY","10595","NY - White Plains","16","36259.5625","10340.5625","8579.3125","293","HF","12.6","22.6","41.08768","-73.803897"
"365","293 - HEART FAILURE & SHOCK W/O CC/MCC","330235","AUBURN COMMUNITY HOSPITAL","17 LANSING STREET","AUBURN","NY","13021","NY - Syracuse","21","11887.95238","4676.619048","3817.190476","293","HF","10.9","23.5","42.940761","-76.564607"
"366","293 - HEART FAILURE & SHOCK W/O CC/MCC","330236","NEW YORK METHODIST HOSPITAL","506 SIXTH STREET","BROOKLYN","NY","11215","NY - Manhattan","81","19068.16049","8472.753086","7285.567901","293","HF","9.7","24.3","40.668263","-73.979141"
"367","293 - HEART FAILURE & SHOCK W/O CC/MCC","330239","WOMAN'S CHRISTIAN ASSOCIATION","207 FOOTE AVENUE","JAMESTOWN","NY","14701","PA - Erie","27","8663.333333","4565.62963","3625.777778","293","HF","11.8","20.6","42.091237","-79.23295"
"368","293 - HEART FAILURE & SHOCK W/O CC/MCC","330240","HARLEM HOSPITAL CENTER","506 LENOX AVENUE","NEW YORK","NY","10037","NY - Manhattan","11","16088.27273","14784.36364","13705.81818","293","HF","11.9","26.2","40.814482","-73.940495"
"369","293 - HEART FAILURE & SHOCK W/O CC/MCC","330241","UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER","750 EAST ADAMS STREET","SYRACUSE","NY","13210","NY - Syracuse","25","24354.04","7266.12","5797.12","293","HF","11.1","25.0","43.042676","-76.139247"
"370","293 - HEART FAILURE & SHOCK W/O CC/MCC","330245","ST ELIZABETH MEDICAL CENTER","2209 GENESEE STREET","UTICA","NY","13501","NY - Elmira","50","12932.66","4709.6","3656.28","293","HF","13.0","21.6","43.083646","-75.267158"
"371","293 - HEART FAILURE & SHOCK W/O CC/MCC","330250","CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR","75 BEEKMAN STREET","PLATTSBURGH","NY","12901","VT - Burlington","53","18054.49057","5554.471698","4837.792453","293","HF","10.7","23.1","44.700122","-73.466647"
"372","293 - HEART FAILURE & SHOCK W/O CC/MCC","330259","MERCY MEDICAL CENTER","1000 NORTH VILLAGE AVENUE","ROCKVILLE CENTR","NY","11570","NY - East Long Island","12","25945.83333","5587.666667","4774.666667","293","HF","11.7","22.6","40.688191","-73.633236"
"373","293 - HEART FAILURE & SHOCK W/O CC/MCC","330261","PHELPS MEMORIAL HOSPITAL ASSN","701 NORTH BROADWAY","SLEEPY HOLLOW","NY","10591","NY - White Plains","14","20857.14286","6555.5","5277.357143","293","HF","13.3","23.8","41.107555","-73.859639"
"374","293 - HEART FAILURE & SHOCK W/O CC/MCC","330264","ST LUKE'S CORNWALL HOSPITAL","70 DUBOIS STREET","NEWBURGH","NY","12550","NY - White Plains","28","25040.28571","5337.357143","4372.464286","293","HF","11.1","21.7","41.50375","-74.015175"
"375","293 - HEART FAILURE & SHOCK W/O CC/MCC","330265","CLIFTON SPRINGS HOSPITAL AND CLINIC","2 COULTER ROAD","CLIFTON SPRINGS","NY","14432","NY - Rochester","11","6257.181818","6045","5064.636364","293","HF","13.6","22.1","42.960473","-77.139252"
"376","293 - HEART FAILURE & SHOCK W/O CC/MCC","330267","HUDSON VALLEY HOSPITAL CENTER","1980 CROMPOND ROAD","CORTLANDT MANOR","NY","10567","NY - White Plains","27","22112.22222","5065.925926","4128.444444","293","HF","10.8","23.2","41.291457","-73.893601"
"377","293 - HEART FAILURE & SHOCK W/O CC/MCC","330268","COBLESKILL REGIONAL HOSPITAL","178 GRANDVIEW DRIVE","COBLESKILL","NY","12043","NY - Albany","14","10612.71429","5823.785714","5051.214286","293","HF","12.0","19.7","42.686224","-74.482987"
"378","293 - HEART FAILURE & SHOCK W/O CC/MCC","330273","PUTNAM HOSPITAL CENTER","670 STONELEIGH AVENUE","CARMEL","NY","10512","CT - New Haven","20","16457.15","4544.4","3822.8","293","HF","11.3","23.3","41.384844","-73.664475"
"379","293 - HEART FAILURE & SHOCK W/O CC/MCC","330277","CORNING HOSPITAL","1 GUTHRIE DRIVE","CORNING","NY","14830","PA - Sayre","23","11073.65217","4169.304348","3198.173913","293","HF","10.4","27.4","42.136107","-76.969841"
"380","293 - HEART FAILURE & SHOCK W/O CC/MCC","330279","MERCY HOSPITAL","565 ABBOTT ROAD","BUFFALO","NY","14220","NY - Buffalo","28","8658.5","4945.5","3873.5","293","HF","15.1","20.5","42.847875","-78.811876"
"381","293 - HEART FAILURE & SHOCK W/O CC/MCC","330285","STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","ROCHESTER","NY","14642","NY - Rochester","42","9825.452381","8565.547619","6837.642857","293","HF","10.4","21.0","43.124394","-77.623692"
"382","293 - HEART FAILURE & SHOCK W/O CC/MCC","330286","GOOD SAMARITAN HOSPITAL MEDICAL CENTER","1000 MONTAUK HIGHWAY","WEST ISLIP","NY","11795","NY - East Long Island","28","32447.35714","6183.821429","4867.785714","293","HF","10.3","23.7","40.696807","-73.286321"
"383","293 - HEART FAILURE & SHOCK W/O CC/MCC","330304","WHITE PLAINS HOSPITAL CENTER","41 EAST POST R0AD","WHITE PLAINS","NY","10601","NY - White Plains","23","16068.43478","5120.478261","4232.826087","293","HF","11.2","23.0","41.026334","-73.769695"
"384","293 - HEART FAILURE & SHOCK W/O CC/MCC","330306","LUTHERAN MEDICAL CENTER","150 55TH STREET","BROOKLYN","NY","11220","NY - Manhattan","14","28834.07143","10956","8939.5","293","HF","10.8","25.5","40.647142","-74.02123"
"385","293 - HEART FAILURE & SHOCK W/O CC/MCC","330331","PLAINVIEW HOSPITAL","888 OLD COUNTRY ROAD","PLAINVIEW","NY","11803","NY - East Long Island","46","20749.76087","5559.478261","4138.826087","293","HF","10.4","22.0","40.774382","-73.478429"
"386","293 - HEART FAILURE & SHOCK W/O CC/MCC","330332","ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","BETHPAGE","NY","11714","NY - East Long Island","48","30977.35417","4650.208333","3702.416667","293","HF","11.0","20.5","40.725795","-73.478755"
"387","293 - HEART FAILURE & SHOCK W/O CC/MCC","330340","SOUTHAMPTON HOSPITAL","240 MEETING HOUSE LANE","SOUTHAMPTON","NY","11968","NY - East Long Island","25","19506.76","6830.4","5400.68","293","HF","12.6","23.1","40.885734","-72.380983"
"388","293 - HEART FAILURE & SHOCK W/O CC/MCC","330350","UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE )","445 LENOX ROAD","BROOKLYN","NY","11203","NY - Manhattan","58","16275.12069","10935.98276","9080.724138","293","HF","10.1","26.8","40.654457","-73.94516"
"389","293 - HEART FAILURE & SHOCK W/O CC/MCC","330353","FOREST HILLS HOSPITAL","102 - 01 66TH ROAD","FOREST HILLS","NY","11375","NY - East Long Island","33","26753.93939","7290.909091","6368.030303","293","HF","13.8","24.6","40.72861","-73.8513"
"390","293 - HEART FAILURE & SHOCK W/O CC/MCC","330372","FRANKLIN HOSPITAL","900 FRANKLIN AVENUE","VALLEY STREAM","NY","11580","NY - East Long Island","31","18957.58065","5611.258065","4844.387097","293","HF","13.9","22.7","40.681674","-73.68572"
"391","293 - HEART FAILURE & SHOCK W/O CC/MCC","330386","CATSKILL REGIONAL MEDICAL CENTER","68 HARRIS BUSHVILLE ROAD","HARRIS","NY","12742","NY - Albany","14","16578.42857","5125.928571","4261.928571","293","HF","11.0","24.3",NA,NA
"392","293 - HEART FAILURE & SHOCK W/O CC/MCC","330393","UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","STONY BROOK","NY","11794","NY - East Long Island","52","24829.5","8438.153846","6240.557692","293","HF","10.3","23.7",NA,NA
"393","293 - HEART FAILURE & SHOCK W/O CC/MCC","330394","UNITED HEALTH SERVICES HOSPITALS, INC","33-57 HARRISON STREET","JOHNSON CITY","NY","13790","NY - Binghamton","56","11288.28571","5060.892857","4013.875","293","HF","14.5","22.9","42.088097","-75.914166"
"394","293 - HEART FAILURE & SHOCK W/O CC/MCC","330395","ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE","327 BEACH 19TH STREET","FAR ROCKAWAY","NY","11691","NY - East Long Island","25","19454.4","10983.84","8727.8","293","HF","13.1","24.8","40.598675","-73.75268"
"395","293 - HEART FAILURE & SHOCK W/O CC/MCC","330401","ST CATHERINE OF SIENA HOSPITAL","50 ROUTE 25A","SMITHTOWN","NY","11787","NY - East Long Island","35","34505.82857","5018.342857","3556.314286","293","HF","10.4","24.7","40.858303","-73.18609"
"396","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY","12204","NY - Albany","16","18337.5","8171.9375","5844.1875","193","PN","18.0","15.8","42.673539","-73.750281"
"397","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330004","HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS","396 BROADWAY","KINGSTON","NY","12401","NY - Albany","52","45917.15385","9968.211538","8734.25","193","PN","16.8","21.0","41.92651","-73.995902"
"398","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330005","KALEIDA HEALTH","726 EXCHANGE STREET, SUITE 522","BUFFALO","NY","14210","NY - Buffalo","85","21176.76471","12555.4","10910.01176","193","PN","16.4","15.6","42.87459","-78.850067"
"399","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330006","ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS","NY","10701","NY - White Plains","23","18358.21739","14322.73913","13434.73913","193","PN","17.6","17.2","40.929614","-73.897003"
"400","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330009","BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX","NY","10456","NY - Bronx","23","17980.43478","23492.34783","21602.82609","193","PN","15.8","21.2","40.83175","-73.903756"
"401","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330011","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE","BINGHAMTON","NY","13905","NY - Binghamton","60","15660.35","8502.183333","7541.033333","193","PN","21.4","21.4","42.09264","-75.935558"
"402","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330013","ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","ALBANY","NY","12208","NY - Albany","29","34423.7931","12153.03448","10580.7931","193","PN","14.1","20.0","42.653254","-73.77386"
"403","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330014","JAMAICA HOSPITAL MEDICAL CENTER","89TH AVENUE AND VAN WYCK EXPRESSWAY","JAMAICA","NY","11418","NY - East Long Island","22","35205.45455","19447.22727","16505.13636","193","PN","21.1","20.6","40.701412","-73.816302"
"404","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","2525 KINGS HIGHWAY","BROOKLYN","NY","11229","NY - Manhattan","32","39325.4375","13140.53125","12496.53125","193","PN","16.6","21.4","40.613783","-73.948321"
"405","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","POUGHKEEPSIE","NY","12601","NY - Albany","127","48558.07087","10785.82677","9989.11811","193","PN","16.9","21.1","41.694567","-73.935723"
"406","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330024","MOUNT SINAI HOSPITAL","ONE GUSTAVE L LEVY PLACE","NEW YORK","NY","10029","NY - Manhattan","118","35295.40678","17647.28814","14244.77966","193","PN","15.6","17.2",NA,NA
"407","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","STATEN ISLAND","NY","10304","NY - Manhattan","22","51972.40909","16263.45455","14482.5","193","PN","18.3","19.0","40.63551","-74.106693"
"408","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330030","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","NEWARK","NY","14513","NY - Rochester","17","21068.29412","8313.176471","7603.529412","193","PN","15.7","21.4","43.060825","-77.099731"
"409","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330033","CHENANGO MEMORIAL HOSPITAL, INC","179 NORTH BROAD STREET","NORWICH","NY","13815","NY - Binghamton","12","27343.33333","12436.58333","11628.58333","193","PN","16.2","14.9","42.541885","-75.524709"
"410","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","BAY SHORE","NY","11706","NY - East Long Island","35","48988.77143","12530.51429","10855.6","193","PN","19.6","18.9","40.724858","-73.240889"
"411","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330044","FAXTON-ST LUKE'S HEALTHCARE","1656 CHAMPLIN AVENUE","UTICA","NY","13503","NY - Elmira","69","23867.57971","8724.014493","7670.898551","193","PN","20.0","18.3",NA,NA
"412","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330045","HUNTINGTON HOSPITAL","270 PARK AVENUE","HUNTINGTON","NY","11743","NY - East Long Island","111","52714.46847","10559.22523","9778.045045","193","PN","18.8","18.7","40.879201","-73.417488"
"413","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330046","ST LUKE'S ROOSEVELT HOSPITAL","1111 AMSTERDAM AVENUE","NEW YORK","NY","10025","NY - Manhattan","52","53368.11538","17183.86538","14853.17308","193","PN","15.2","19.8","40.770129","-73.987846"
"414","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330047","ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","AMSTERDAM","NY","12010","NY - Albany","46","24042.67391","8971.782609","8157.891304","193","PN","19.2","18.4","42.953648","-74.216041"
"415","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330049","NORTHERN DUTCHESS HOSPITAL","6511 SPRINGBROOK AVENUE","RHINEBECK","NY","12572","NY - Albany","25","38843.2","9927.24","8764.56","193","PN","20.8","16.5","41.933823","-73.912744"
"416","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","56-45 MAIN STREET","FLUSHING","NY","11355","NY - East Long Island","88","42617.88636","14763.09091","12831.92045","193","PN","17.5","19.4","40.747529","-73.826102"
"417","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","BROOKLYN","NY","11201","NY - Manhattan","29","35325.44828","20101.27586","16621.72414","193","PN","18.1","21.4","40.689785","-73.9774"
"418","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","ALBANY","NY","12208","NY - Albany","45","37956.04444","9684.866667","8720.8","193","PN","13.2","17.1","42.656808","-73.804578"
"419","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330058","GENEVA GENERAL HOSPITAL","196 -198 NORTH STREET","GENEVA","NY","14456","NY - Rochester","22","21161","8807.772727","7290.681818","193","PN","18.0","19.6","42.875702","-76.988003"
"420","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","BRONX","NY","10467","NY - Bronx","123","74693.0813","19500.14634","16609.18699","193","PN","12.8","19.6","40.879777","-73.879975"
"421","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330061","LAWRENCE HOSPITAL CENTER","55 PALMER AVENUE","BRONXVILLE","NY","10708","NY - White Plains","43","34837.81395","10077.74419","8839.790698","193","PN","17.5","17.6","40.941585","-73.836593"
"422","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330067","ST FRANCIS HOSPITAL","241 NORTH ROAD","POUGHKEEPSIE","NY","12601","NY - Albany","13","51583.76923","11705.07692","10870.61538","193","PN",NA,NA,NA,NA
"423","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","BATAVIA","NY","14020","NY - Buffalo","12","20459.16667","9573.916667","8536.333333","193","PN","18.9","15.6","43.003913","-78.177006"
"424","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","CANANDAIGUA","NY","14424","NY - Rochester","19","16989.26316","8534.052632","7201.210526","193","PN","16.6","18.5","42.874946","-77.289875"
"425","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330078","SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","BUFFALO","NY","14214","NY - Buffalo","24","31904.66667","10762.91667","9090.916667","193","PN","19.2","19.2","42.92917","-78.849916"
"426","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","BRONX","NY","10451","NY - Bronx","13","33504.53846","28283.46154","26601.53846","193","PN","18.4","17.7","40.817681","-73.924072"
"427","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330084","ALICE HYDE MEDICAL CENTER","133 PARK STREET","MALONE","NY","12953","VT - Burlington","19","14482.84211","9992","8699.631579","193","PN","14.5","16.8","44.856658","-74.29193"
"428","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONE NORTON AVENUE","ONEONTA","NY","13820","NY - Binghamton","18","18438.66667","8402.333333","7662.777778","193","PN","17.9","16.9",NA,NA
"429","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330088","EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","GREENPORT","NY","11944","NY - East Long Island","18","48570.66667","13818.72222","11089.44444","193","PN","13.6","16.7","41.110565","-72.362398"
"430","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330090","ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","ELMIRA","NY","14905","NY - Elmira","69","23089.33333","8972.463768","8067.956522","193","PN","14.0","21.5","42.099256","-76.826668"
"431","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330094","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","HUDSON","NY","12534","NY - Albany","24","20617.125","9421.416667","8612.083333","193","PN","21.5","18.8","42.246254","-73.776128"
"432","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","NEW YORK","NY","10021","NY - Manhattan","230","82495.78696","20867.65652","16915.01304","193","PN","13.1","18.8","40.7642","-73.954457"
"433","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","KENMORE","NY","14217","NY - Buffalo","11","19128.81818","8272.272727","7396.636364","193","PN","17.6","15.8","42.9779","-78.878678"
"434","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330103","OLEAN GENERAL HOSPITAL","515 MAIN STREET","OLEAN","NY","14760","NY - Buffalo","47","13641.17021","8066","7142.531915","193","PN","15.4","16.9","42.089448","-78.426977"
"435","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330104","NYACK HOSPITAL","160 NORTH MIDLAND AVENUE","NYACK","NY","10960","NJ - Hackensack","78","56478.78205","11180.66667","10053.33333","193","PN","15.5","19.8","41.095841","-73.925034"
"436","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","MANHASSET","NY","11030","NY - East Long Island","85","93569.32941","16350.36471","14080.07059","193","PN","14.6","18.8","40.779269","-73.703029"
"437","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","RIVERHEAD","NY","11901","NY - East Long Island","29","51274.86207","11594.2069","10254.58621","193","PN","15.4","20.1","40.933577","-72.674317"
"438","193 - SIMPLE PNEUMONIA & PLEURISY W MCC","330115","ONEIDA HEALTHCARE CENTER","321 GENESEE STREET","ONEIDA","NY","13421","NY - Syracuse","12","27900.58333","9698.666667","9179.333333","193","PN","16.6","17.8","43.078797","-75.654641"
